claim_id,rating_group,accident_year,accident_date,report_date,true_ultimate,close_date,status
CLM-000043,A,2020,2020-09-13,2020-09-23,22431.77,2021-04-28,Closed
CLM-000044,A,2020,2020-05-09,2020-06-01,5178.41,2023-02-21,Closed
CLM-000045,A,2020,2020-01-25,2020-03-15,4426.54,2021-02-05,Closed
CLM-000046,A,2020,2020-12-21,2021-05-12,18329.2,2022-10-08,Closed
CLM-000047,A,2020,2020-06-12,2020-06-25,2534.63,2022-02-15,Closed
CLM-000048,A,2020,2020-11-22,2021-01-15,2984.97,2021-10-01,Closed
CLM-000049,A,2020,2020-09-05,2020-09-28,9760.25,2024-08-27,Closed
CLM-000050,A,2020,2020-10-11,2020-10-28,4387.78,2023-11-15,Closed
CLM-000051,A,2020,2020-10-05,2020-11-01,5922.94,2022-02-08,Closed
CLM-000052,A,2020,2020-03-12,2020-04-01,5242.94,2021-04-28,Closed
CLM-000053,A,2020,2020-05-13,2020-06-03,7712.2,2021-10-11,Closed
CLM-000054,A,2020,2020-06-19,2020-07-04,17582.94,2022-02-14,Closed
CLM-000055,A,2020,2020-07-01,2020-07-08,6376.08,2021-08-31,Closed
CLM-000056,A,2020,2020-01-17,2020-01-23,9764.85,2021-10-02,Closed
CLM-000057,A,2020,2020-07-19,2020-08-19,1225.78,2021-10-05,Closed
CLM-000058,A,2020,2020-02-26,2020-03-13,5727.34,2021-02-02,Closed
CLM-000059,A,2020,2020-09-29,2020-10-12,3105.76,2021-11-14,Closed
CLM-000060,A,2020,2020-09-06,2020-09-26,2325.54,2022-12-23,Closed
CLM-000061,A,2020,2020-12-03,2021-01-06,3023.33,2023-02-03,Closed
CLM-000062,A,2020,2020-09-29,2020-10-21,4597.03,2021-06-23,Closed
CLM-000063,A,2020,2020-05-14,2020-05-26,12040.51,2023-03-01,Closed
CLM-000064,A,2020,2020-12-20,2021-02-05,2140.6,2022-08-29,Closed
CLM-000065,A,2020,2020-05-30,2020-07-29,6088.32,2021-12-01,Closed
CLM-000066,A,2020,2020-04-29,2020-05-27,4095.27,2023-01-02,Closed
CLM-000067,A,2020,2020-11-27,2021-01-05,4619.93,2023-01-05,Closed
CLM-000068,A,2020,2020-05-15,2020-07-01,12873.61,2021-06-23,Closed
CLM-000069,A,2020,2020-01-28,2020-03-12,9000.46,2021-01-20,Closed
CLM-000070,A,2020,2020-06-20,2020-07-20,16658.91,2021-09-27,Closed
CLM-000071,A,2020,2020-10-18,2020-11-17,5279.15,2022-02-25,Closed
CLM-000072,A,2020,2020-03-10,2020-04-07,3478.88,2020-09-24,Closed
CLM-000073,A,2020,2020-06-18,2020-06-27,5004.54,2021-06-15,Closed
CLM-000074,A,2020,2020-02-17,2020-03-20,7167.58,2022-01-29,Closed
CLM-000075,A,2020,2020-09-08,2020-09-15,6812.7,2020-12-03,Closed
CLM-000076,A,2020,2020-06-23,2020-07-04,2579.25,2021-12-27,Closed
CLM-000077,A,2020,2020-04-30,2020-06-18,6375.61,2021-11-27,Closed
CLM-000078,A,2020,2020-03-24,2020-04-29,7089.23,2022-09-12,Closed
CLM-000079,A,2020,2020-07-25,2020-09-19,41344.14,2022-02-08,Closed
CLM-000080,A,2020,2020-09-02,2020-09-18,25240.97,2022-02-24,Closed
CLM-000081,A,2020,2020-12-10,2020-12-18,3081.89,2023-08-04,Closed
CLM-000082,A,2020,2020-06-08,2020-06-24,4765.55,2021-08-24,Closed
CLM-000083,A,2020,2020-02-28,2020-03-20,1926.15,2022-10-04,Closed
CLM-000084,A,2020,2020-10-31,2020-11-21,3772.62,2022-09-07,Closed
CLM-000085,A,2020,2020-08-18,2020-10-01,7582.79,2022-03-24,Closed
CLM-000086,A,2020,2020-09-13,2020-09-28,15053.64,2022-07-13,Closed
CLM-000087,A,2020,2020-02-05,2020-03-01,3391.19,2022-09-28,Closed
CLM-000088,A,2020,2020-04-24,2020-05-04,3592.7,2021-02-26,Closed
CLM-000089,A,2020,2020-10-08,2020-11-04,1137.43,2022-08-08,Closed
CLM-000090,A,2020,2020-10-31,2020-11-20,5246.08,2023-03-24,Closed
CLM-000091,A,2020,2020-06-08,2020-06-19,2623.28,2021-11-25,Closed
CLM-000092,A,2020,2020-10-21,2020-11-06,3954.93,2021-11-13,Closed
CLM-000093,A,2020,2020-11-04,2020-11-21,3026.34,2021-09-09,Closed
CLM-000094,A,2020,2020-05-21,2020-06-06,5529.9,2022-11-09,Closed
CLM-000095,A,2020,2020-11-24,2021-02-01,1535.48,2022-04-26,Closed
CLM-000096,A,2020,2020-04-15,2020-05-03,1920.81,2022-03-03,Closed
CLM-000097,A,2020,2020-03-28,2020-04-13,30657.84,2021-09-05,Closed
CLM-000098,A,2020,2020-09-06,2020-09-10,2205.83,2022-10-20,Closed
CLM-000099,A,2020,2020-08-21,2020-08-31,2554.74,2022-05-29,Closed
CLM-000100,A,2020,2020-02-21,2020-03-08,24476.43,2021-07-04,Closed
CLM-000101,A,2020,2020-10-31,2020-11-12,55728.12,2022-07-20,Closed
CLM-000102,A,2020,2020-03-14,2020-05-05,2411.74,2022-05-27,Closed
CLM-000103,A,2020,2020-10-21,2020-11-07,4477.77,2022-06-23,Closed
CLM-000104,A,2020,2020-01-03,2020-02-21,7735.89,2021-04-18,Closed
CLM-000105,A,2020,2020-10-18,2020-11-07,22518.89,2023-03-16,Closed
CLM-000106,A,2020,2020-10-15,2020-11-04,2780.48,2022-04-17,Closed
CLM-000107,A,2020,2020-10-12,2020-10-30,4922.65,2021-09-29,Closed
CLM-000108,A,2020,2020-08-31,2020-09-20,10821.59,2021-12-01,Closed
CLM-000109,A,2020,2020-06-21,2020-08-26,8311.74,2022-01-29,Closed
CLM-000110,A,2020,2020-09-15,2020-09-18,4450.58,2022-05-23,Closed
CLM-000111,A,2020,2020-04-11,2020-04-15,5363.93,2021-09-26,Closed
CLM-000112,A,2020,2020-10-12,2020-10-25,2062.11,2021-09-18,Closed
CLM-000113,A,2020,2020-07-22,2020-08-11,4949.66,2023-01-13,Closed
CLM-000114,A,2020,2020-06-16,2020-07-18,4843.25,2022-02-17,Closed
CLM-000115,A,2020,2020-07-04,2020-07-31,7110.79,2021-08-20,Closed
CLM-000116,A,2020,2020-07-27,2020-08-11,3876.85,2021-02-12,Closed
CLM-000117,A,2020,2020-01-14,2020-02-23,8550.53,2021-03-15,Closed
CLM-000118,A,2020,2020-02-21,2020-04-02,12972.74,2023-04-14,Closed
CLM-000119,A,2020,2020-03-30,2020-04-21,6702.64,2021-09-19,Closed
CLM-000120,A,2020,2020-02-11,2020-03-21,7796.91,2020-10-04,Closed
CLM-000121,A,2020,2020-06-09,2020-07-03,6194.88,2021-09-28,Closed
CLM-000122,A,2020,2020-09-01,2020-09-14,5946.74,2022-08-15,Closed
CLM-000123,A,2020,2020-08-27,2020-09-28,3410.91,2023-02-20,Closed
CLM-000124,A,2020,2020-06-21,2020-07-12,7587.99,2022-01-03,Closed
CLM-000125,A,2020,2020-11-08,2020-11-28,5517.03,2023-01-07,Closed
CLM-000126,A,2020,2020-07-25,2020-09-19,29817.57,2021-10-05,Closed
CLM-000127,A,2020,2020-01-29,2020-02-01,19979.31,2022-06-28,Closed
CLM-000128,A,2020,2020-10-06,2020-10-13,8004.36,2021-12-10,Closed
CLM-000129,A,2020,2020-07-29,2020-08-06,3303.6,2021-05-26,Closed
CLM-000130,A,2020,2020-08-20,2020-09-04,2524.17,2022-11-17,Closed
CLM-000131,A,2020,2020-07-25,2020-08-10,14884.02,2023-05-05,Closed
CLM-000132,A,2020,2020-07-21,2020-07-27,7280.27,2022-11-28,Closed
CLM-000133,A,2020,2020-02-03,2020-02-13,8607.39,2022-05-14,Closed
CLM-000134,A,2020,2020-07-23,2020-08-02,1551.1,2022-06-06,Closed
CLM-000135,A,2020,2020-10-17,2021-02-05,12147.98,2021-08-19,Closed
CLM-000136,A,2020,2020-04-21,2020-06-30,8438.53,2022-04-30,Closed
CLM-000137,A,2020,2020-08-08,2020-08-22,2528.03,2022-04-30,Closed
CLM-000138,A,2020,2020-01-12,2020-01-27,4135.36,2021-10-15,Closed
CLM-000139,A,2020,2020-05-07,2020-05-15,7285.7,2022-01-06,Closed
CLM-000140,A,2020,2020-06-08,2020-06-13,6191.59,2023-12-30,Closed
CLM-000141,A,2020,2020-12-25,2021-01-12,4748.01,2023-04-10,Closed
CLM-000142,A,2020,2020-03-19,2020-03-28,5490.74,2021-05-26,Closed
CLM-000143,A,2020,2020-04-11,2020-04-29,4897.31,2020-11-24,Closed
CLM-000144,A,2020,2020-05-29,2020-06-04,6687.86,2021-10-24,Closed
CLM-000145,A,2020,2020-12-29,2021-01-09,18471.61,2024-03-04,Closed
CLM-000146,A,2020,2020-11-08,2020-11-30,823.44,2022-05-14,Closed
CLM-000147,A,2020,2020-01-13,2020-02-07,4954.71,2022-01-31,Closed
CLM-000148,A,2020,2020-03-26,2020-04-21,6812.38,2021-08-10,Closed
CLM-000149,A,2020,2020-10-27,2020-11-03,7469.11,2021-11-06,Closed
CLM-000150,A,2020,2020-01-22,2020-02-27,4465.14,2020-11-01,Closed
CLM-000151,A,2020,2020-11-09,2020-11-20,1603.65,2024-01-06,Closed
CLM-000152,A,2020,2020-04-12,2020-05-13,7655.51,2022-08-10,Closed
CLM-000153,A,2020,2020-12-01,2020-12-20,22495.53,2023-03-24,Closed
CLM-000154,A,2020,2020-04-17,2020-04-24,1824.45,2021-06-09,Closed
CLM-000155,A,2020,2020-06-07,2020-06-23,11567.1,2022-06-30,Closed
CLM-000156,A,2020,2020-08-30,2020-09-24,4616.9,2023-01-30,Closed
CLM-000157,A,2020,2020-02-16,2020-03-17,5672.0,2020-12-13,Closed
CLM-000158,A,2020,2020-07-22,2020-08-09,2642.58,2021-12-02,Closed
CLM-000159,A,2020,2020-07-03,2020-08-30,4595.85,2021-11-27,Closed
CLM-000160,A,2020,2020-10-13,2020-11-22,16186.42,2022-06-28,Closed
CLM-000161,A,2020,2020-12-30,2021-01-15,9314.61,2022-01-30,Closed
CLM-000162,A,2020,2020-08-31,2020-10-03,22581.66,2022-10-18,Closed
CLM-000163,A,2020,2020-05-29,2020-08-14,14727.43,2022-02-25,Closed
CLM-000164,A,2020,2020-05-28,2020-08-14,8339.44,2023-09-08,Closed
CLM-000165,A,2020,2020-06-01,2020-06-09,22784.74,2021-04-11,Closed
CLM-000166,A,2020,2020-10-24,2020-11-03,8338.84,2021-05-08,Closed
CLM-000167,A,2020,2020-04-27,2020-06-22,11252.14,2023-05-04,Closed
CLM-000168,A,2020,2020-03-02,2020-03-11,4731.94,2021-05-31,Closed
CLM-000169,A,2020,2020-05-02,2020-05-09,6259.1,2021-07-18,Closed
CLM-000170,A,2020,2020-01-09,2020-01-23,3474.91,2023-03-08,Closed
CLM-000171,A,2020,2020-02-08,2020-03-05,12743.64,2023-03-14,Closed
CLM-000172,A,2020,2020-02-02,2020-02-20,2399.25,2021-05-18,Closed
CLM-000173,A,2020,2020-10-09,2020-10-21,10863.46,2023-09-04,Closed
CLM-000174,A,2020,2020-09-21,2020-10-03,5134.2,2021-06-04,Closed
CLM-000175,A,2020,2020-09-12,2020-09-24,14657.66,2022-12-04,Closed
CLM-000176,A,2020,2020-06-18,2020-06-28,10603.19,2021-10-07,Closed
CLM-000177,A,2020,2020-09-19,2020-12-26,24171.64,2023-01-06,Closed
CLM-000178,A,2020,2020-02-29,2020-03-24,10440.34,2021-10-04,Closed
CLM-000179,A,2020,2020-11-25,2021-01-01,1771.58,2022-12-11,Closed
CLM-000180,A,2020,2020-07-02,2020-07-16,5647.46,2021-04-21,Closed
CLM-000181,A,2020,2020-12-09,2020-12-26,2410.92,2023-03-28,Closed
CLM-000182,A,2020,2020-02-25,2020-03-08,3989.07,2021-09-24,Closed
CLM-000183,A,2020,2020-07-01,2020-07-04,19045.73,2021-01-31,Closed
CLM-000184,A,2020,2020-09-11,2020-09-18,9716.79,2021-04-22,Closed
CLM-000185,A,2020,2020-06-30,2020-07-05,3470.88,2022-05-16,Closed
CLM-000186,A,2020,2020-06-12,2020-06-16,2723.55,2021-02-27,Closed
CLM-000187,A,2020,2020-03-01,2020-03-09,6098.42,2021-05-03,Closed
CLM-000188,A,2020,2020-05-19,2020-07-08,2329.58,2021-09-08,Closed
CLM-000189,A,2020,2020-03-28,2020-04-16,3545.98,2021-05-27,Closed
CLM-000190,A,2020,2020-04-20,2020-06-08,8044.849999999999,2023-04-08,Closed
CLM-000191,A,2020,2020-09-07,2020-10-03,14478.84,2021-05-07,Closed
CLM-000192,A,2020,2020-08-18,2020-09-21,9503.81,2023-08-03,Closed
CLM-000193,A,2020,2020-08-10,2020-08-20,1018.01,2023-03-10,Closed
CLM-000194,A,2020,2020-05-12,2020-06-09,7517.43,2021-10-23,Closed
CLM-000195,A,2020,2020-12-17,2021-01-19,6285.62,2022-11-24,Closed
CLM-000196,A,2020,2020-02-02,2020-02-15,8179.15,2022-06-23,Closed
CLM-000197,A,2020,2020-05-05,2020-06-03,20649.84,2022-01-29,Closed
CLM-000198,A,2020,2020-02-13,2020-03-13,1213.51,2021-01-22,Closed
CLM-000199,A,2020,2020-05-04,2020-05-17,4009.71,2023-03-02,Closed
CLM-000200,A,2020,2020-12-18,2020-12-27,9374.0,2022-08-15,Closed
CLM-000201,A,2020,2020-05-14,2020-05-22,1758.59,2021-12-07,Closed
CLM-000202,A,2020,2020-11-28,2020-12-19,18535.13,2023-03-24,Closed
CLM-000203,A,2020,2020-06-30,2020-07-25,7897.25,2022-05-24,Closed
CLM-000204,A,2020,2020-09-13,2020-09-24,11414.48,2022-03-01,Closed
CLM-000205,A,2020,2020-06-16,2020-07-06,3830.49,2022-07-24,Closed
CLM-000206,A,2020,2020-04-07,2020-05-06,11129.53,2021-10-01,Closed
CLM-000207,A,2020,2020-10-06,2020-11-05,13542.02,2021-06-06,Closed
CLM-000208,A,2020,2020-12-20,2021-02-17,7114.67,2021-08-27,Closed
CLM-000209,A,2020,2020-04-06,2020-05-24,7123.02,2021-09-15,Closed
CLM-000210,A,2020,2020-10-12,2020-10-21,7322.98,2025-04-04,Closed
CLM-000211,A,2020,2020-04-05,2020-06-08,3058.01,2021-06-19,Closed
CLM-000212,A,2020,2020-09-19,2020-10-02,5307.6,2021-07-06,Closed
CLM-000213,A,2020,2020-10-15,2020-11-25,5287.22,2023-04-17,Closed
CLM-000214,A,2020,2020-06-13,2020-07-03,7989.26,2022-08-06,Closed
CLM-000215,A,2020,2020-09-26,2020-10-10,12844.55,2023-12-25,Closed
CLM-000216,A,2020,2020-04-09,2020-04-14,2631.13,2020-08-19,Closed
CLM-000217,A,2020,2020-01-30,2020-02-16,5400.47,2021-09-05,Closed
CLM-000218,A,2020,2020-02-05,2020-02-11,18613.92,2022-02-03,Closed
CLM-000219,A,2020,2020-06-12,2020-07-21,3353.52,2021-08-05,Closed
CLM-000220,A,2020,2020-11-26,2021-01-22,3156.35,2022-04-20,Closed
CLM-000221,A,2020,2020-02-16,2020-02-27,6949.08,2021-06-11,Closed
CLM-000222,A,2020,2020-06-15,2020-07-09,11395.16,2023-04-16,Closed
CLM-000223,A,2020,2020-09-14,2020-09-26,5998.92,2021-05-07,Closed
CLM-000224,A,2020,2020-03-15,2020-03-27,16550.99,2022-05-05,Closed
CLM-000225,A,2020,2020-09-21,2020-10-25,11504.6,2021-10-26,Closed
CLM-000226,A,2020,2020-04-21,2020-05-10,11372.67,2022-08-11,Closed
CLM-000227,A,2020,2020-10-22,2020-12-28,9112.08,2021-08-04,Closed
CLM-000228,A,2020,2020-07-30,2020-08-13,35720.19,2021-09-15,Closed
CLM-000229,A,2020,2020-07-19,2020-08-28,5077.13,2023-04-25,Closed
CLM-000230,A,2020,2020-03-05,2020-03-26,1270.63,2021-11-25,Closed
CLM-000231,A,2020,2020-06-18,2020-07-22,20460.55,2022-07-01,Closed
CLM-000232,A,2020,2020-11-09,2020-11-23,4179.63,2021-06-20,Closed
CLM-000233,A,2020,2020-01-08,2020-01-27,6461.59,2020-10-11,Closed
CLM-000234,A,2020,2020-10-04,2020-10-22,16305.38,2022-07-22,Closed
CLM-000235,A,2020,2020-06-29,2020-07-10,1730.82,2022-12-31,Closed
CLM-000236,A,2020,2020-09-20,2020-10-21,2267.47,2022-01-30,Closed
CLM-000237,A,2020,2020-08-30,2020-09-30,1732.13,2022-05-31,Closed
CLM-000238,A,2020,2020-06-07,2020-07-07,3225.45,2023-07-28,Closed
CLM-000239,A,2020,2020-04-22,2020-06-19,8342.98,2021-10-04,Closed
CLM-000240,A,2020,2020-08-17,2020-10-11,8904.42,2022-05-08,Closed
CLM-000241,A,2020,2020-02-21,2020-03-07,7356.51,2020-09-04,Closed
CLM-000242,A,2020,2020-08-01,2020-08-26,2002.82,2022-01-24,Closed
CLM-000243,A,2020,2020-02-04,2020-02-16,1003.36,2020-12-23,Closed
CLM-000244,A,2020,2020-08-25,2020-09-14,6200.6,2022-08-06,Closed
CLM-000245,A,2020,2020-08-18,2020-08-31,4134.56,2021-10-14,Closed
CLM-000246,A,2020,2020-01-31,2020-04-02,8470.86,2022-05-19,Closed
CLM-000247,A,2020,2020-10-04,2020-10-29,10211.12,2023-10-02,Closed
CLM-000248,A,2020,2020-06-01,2020-06-18,6614.49,2022-07-20,Closed
CLM-000249,A,2020,2020-10-15,2020-11-30,10679.13,2022-03-04,Closed
CLM-000250,A,2020,2020-01-16,2020-01-20,7094.6,2022-03-23,Closed
CLM-000251,A,2020,2020-03-06,2020-03-10,8944.82,2021-06-10,Closed
CLM-000252,A,2020,2020-06-29,2020-08-02,3455.56,2021-11-02,Closed
CLM-000253,A,2020,2020-03-09,2020-03-29,5178.04,2021-11-20,Closed
CLM-000254,A,2020,2020-04-30,2020-05-23,6919.55,2020-10-17,Closed
CLM-000255,A,2020,2020-08-29,2020-09-05,11187.67,2022-05-22,Closed
CLM-000256,A,2020,2020-02-22,2020-03-12,4390.7,2021-06-08,Closed
CLM-000257,A,2020,2020-09-05,2020-11-25,8883.73,2023-07-29,Closed
CLM-000258,A,2020,2020-02-07,2020-03-13,4845.3,2022-03-24,Closed
CLM-000259,A,2020,2020-03-05,2020-03-27,5431.62,2023-01-03,Closed
CLM-000260,A,2020,2020-08-03,2020-08-17,11265.42,2021-08-28,Closed
CLM-000261,A,2020,2020-10-17,2020-11-01,1280.91,2022-12-10,Closed
CLM-000262,A,2020,2020-03-03,2020-03-07,2190.51,2021-07-11,Closed
CLM-000263,A,2020,2020-04-19,2020-05-12,1898.54,2022-09-18,Closed
CLM-000264,A,2020,2020-12-04,2021-01-09,985.36,2021-11-02,Closed
CLM-000265,A,2020,2020-12-28,2021-01-03,3526.57,2022-09-03,Closed
CLM-000266,A,2020,2020-07-31,2020-08-12,10591.48,2022-12-12,Closed
CLM-000267,A,2020,2020-06-12,2020-06-20,4774.73,2022-02-06,Closed
CLM-000268,A,2020,2020-05-06,2020-05-16,6924.95,2023-01-11,Closed
CLM-000269,A,2020,2020-08-12,2020-09-01,13760.16,2023-11-29,Closed
CLM-000270,A,2020,2020-08-04,2020-08-08,16534.75,2022-04-07,Closed
CLM-000271,A,2020,2020-04-17,2020-05-17,5637.96,2020-08-21,Closed
CLM-000272,A,2020,2020-01-09,2020-02-11,16867.93,2021-12-27,Closed
CLM-000273,A,2020,2020-02-25,2020-03-12,6383.66,2021-03-29,Closed
CLM-000274,A,2020,2020-12-16,2020-12-19,10217.68,2024-08-23,Closed
CLM-000275,A,2020,2020-06-02,2020-06-11,4158.38,2022-04-25,Closed
CLM-000276,A,2020,2020-06-25,2020-08-11,1900.95,2022-01-07,Closed
CLM-000277,A,2020,2020-06-19,2020-06-21,14967.04,2022-03-17,Closed
CLM-000278,A,2020,2020-10-13,2020-10-28,4513.2,2023-09-29,Closed
CLM-000279,A,2020,2020-01-24,2020-02-01,11042.61,2022-01-10,Closed
CLM-000280,A,2020,2020-01-31,2020-03-06,22381.79,2022-06-05,Closed
CLM-000281,A,2020,2020-04-10,2020-04-22,2050.56,2021-07-17,Closed
CLM-000282,A,2020,2020-06-27,2020-07-23,8047.52,2020-12-18,Closed
CLM-000283,A,2020,2020-09-02,2020-10-01,2667.84,2021-07-30,Closed
CLM-000284,A,2020,2020-06-28,2020-09-08,8571.36,2021-09-02,Closed
CLM-000285,A,2020,2020-06-10,2020-06-27,5375.25,2020-09-24,Closed
CLM-000286,A,2020,2020-12-09,2021-01-04,1451.32,2022-02-09,Closed
CLM-000287,A,2020,2020-02-28,2020-03-06,12156.01,2022-06-01,Closed
CLM-000288,A,2020,2020-07-28,2020-09-12,3731.31,2022-12-23,Closed
CLM-000289,A,2020,2020-07-17,2020-07-28,3941.36,2023-04-12,Closed
CLM-000290,A,2020,2020-06-22,2020-07-05,2608.49,2022-01-11,Closed
CLM-000291,A,2020,2020-10-22,2020-11-10,3592.32,2022-02-08,Closed
CLM-000292,A,2020,2020-04-07,2020-04-13,8267.83,2022-01-05,Closed
CLM-000293,A,2020,2020-12-15,2021-01-07,5139.77,2021-09-16,Closed
CLM-000294,A,2020,2020-05-01,2020-06-09,7659.44,2022-01-07,Closed
CLM-000295,A,2020,2020-07-18,2020-08-11,7858.21,2022-01-19,Closed
CLM-000296,A,2020,2020-07-09,2020-07-15,16445.53,2022-11-15,Closed
CLM-000297,A,2020,2020-11-07,2020-11-25,4566.46,2023-06-22,Closed
CLM-000298,A,2020,2020-06-09,2020-07-12,1906.35,2021-12-14,Closed
CLM-000299,A,2020,2020-04-14,2020-04-19,13528.99,2021-08-15,Closed
CLM-000300,A,2020,2020-01-08,2020-01-17,4606.37,2021-10-01,Closed
CLM-000301,A,2021,2021-07-06,2021-07-19,7199.41,2022-05-19,Closed
CLM-000302,A,2021,2021-12-12,2021-12-31,3902.44,2023-09-13,Closed
CLM-000303,A,2021,2021-03-14,2021-05-24,6164.73,2023-06-05,Closed
CLM-000304,A,2021,2021-05-28,2021-06-03,3883.71,2022-09-22,Closed
CLM-000305,A,2021,2021-03-23,2021-05-03,2747.83,2022-08-11,Closed
CLM-000306,A,2021,2021-10-23,2021-11-01,4777.6,2023-04-11,Closed
CLM-000307,A,2021,2021-06-01,2021-06-22,2680.33,2024-01-23,Closed
CLM-000308,A,2021,2021-12-22,2022-01-07,8044.29,2023-11-11,Closed
CLM-000309,A,2021,2021-03-31,2021-04-10,2586.83,2022-04-24,Closed
CLM-000310,A,2021,2021-01-30,2021-02-09,10856.22,2022-11-03,Closed
CLM-000311,A,2021,2021-08-01,2021-08-25,2525.03,2022-04-28,Closed
CLM-000312,A,2021,2021-08-26,2021-10-05,4055.67,2023-03-11,Closed
CLM-000313,A,2021,2021-12-28,2022-01-15,3877.54,2022-10-12,Closed
CLM-000314,A,2021,2021-11-15,2021-12-06,17410.08,2023-12-13,Closed
CLM-000315,A,2021,2021-11-19,2021-12-18,8090.85,2024-04-18,Closed
CLM-000316,A,2021,2021-08-20,2021-08-30,5329.33,2023-05-19,Closed
CLM-000317,A,2021,2021-05-12,2021-06-14,9211.67,,Open
CLM-000318,A,2021,2021-06-06,2021-07-11,1237.63,2023-01-14,Closed
CLM-000319,A,2021,2021-02-18,2021-06-21,6068.39,2023-08-15,Closed
CLM-000320,A,2021,2021-06-07,2021-06-22,29223.07,2024-02-12,Closed
CLM-000321,A,2021,2021-05-14,2021-05-28,6946.67,2022-02-19,Closed
CLM-000322,A,2021,2021-01-14,2021-02-17,6610.31,2022-09-27,Closed
CLM-000323,A,2021,2021-03-16,2021-04-20,9569.01,2023-03-19,Closed
CLM-000324,A,2021,2021-07-15,2021-07-28,12505.68,2022-06-14,Closed
CLM-000325,A,2021,2021-05-15,2021-05-30,1346.78,2023-12-08,Closed
CLM-000326,A,2021,2021-12-29,2022-01-27,1716.8,2023-10-08,Closed
CLM-000327,A,2021,2021-06-24,2021-07-05,7376.52,2023-02-01,Closed
CLM-000328,A,2021,2021-12-16,2021-12-31,3617.08,2023-08-23,Closed
CLM-000329,A,2021,2021-08-30,2021-09-20,17235.0,2024-06-17,Closed
CLM-000330,A,2021,2021-01-15,2021-02-24,4921.17,2022-10-15,Closed
CLM-000331,A,2021,2021-03-16,2021-03-29,1413.68,2021-12-16,Closed
