transaction_id,claim_id,transaction_date,transaction_type,amount
TX-0000037,CLM-000006,2022-07-14,Payment,868.19
TX-0000038,CLM-000006,2022-07-14,CaseReserveEstimate,0.0
TX-0000039,CLM-000007,2020-12-10,Payment,3911.06
TX-0000040,CLM-000007,2020-12-10,CaseReserveEstimate,1690.96
TX-0000041,CLM-000007,2021-01-17,Payment,508.96
TX-0000042,CLM-000007,2021-01-17,CaseReserveEstimate,1217.01
TX-0000043,CLM-000007,2021-01-31,Payment,169.9
TX-0000044,CLM-000007,2021-01-31,CaseReserveEstimate,1020.84
TX-0000045,CLM-000007,2021-03-05,Payment,398.39
TX-0000046,CLM-000007,2021-03-05,CaseReserveEstimate,673.64
TX-0000047,CLM-000007,2021-05-12,Payment,716.73
TX-0000048,CLM-000007,2021-05-12,CaseReserveEstimate,0.0
TX-0000049,CLM-000008,2020-11-19,Payment,1378.06
TX-0000050,CLM-000008,2020-11-19,CaseReserveEstimate,21399.02
TX-0000051,CLM-000008,2021-06-03,Payment,12329.34
TX-0000052,CLM-000008,2021-06-03,CaseReserveEstimate,9867.17
TX-0000053,CLM-000008,2021-12-02,Payment,9502.39
TX-0000054,CLM-000008,2021-12-02,CaseReserveEstimate,0.0
TX-0000055,CLM-000009,2020-04-18,Payment,325.63
TX-0000056,CLM-000009,2020-04-18,CaseReserveEstimate,4194.1
TX-0000057,CLM-000009,2021-01-19,Payment,6248.39
TX-0000058,CLM-000009,2021-01-19,CaseReserveEstimate,0.0
TX-0000059,CLM-000010,2020-03-31,Payment,199.96
TX-0000060,CLM-000010,2020-03-31,CaseReserveEstimate,12459.22
TX-0000061,CLM-000010,2022-04-05,Payment,12476.67
TX-0000062,CLM-000010,2022-04-05,CaseReserveEstimate,0.0
TX-0000063,CLM-000011,2021-03-05,Payment,1881.38
TX-0000064,CLM-000011,2021-03-05,CaseReserveEstimate,2800.15
TX-0000065,CLM-000011,2021-04-04,Payment,293.18
TX-0000066,CLM-000011,2021-04-04,CaseReserveEstimate,2004.13
TX-0000067,CLM-000011,2021-12-06,Payment,1873.27
TX-0000068,CLM-000011,2021-12-06,CaseReserveEstimate,0.0
TX-0000069,CLM-000012,2021-05-07,Payment,407.59
TX-0000070,CLM-000012,2021-05-07,CaseReserveEstimate,1850.68
TX-0000071,CLM-000012,2021-10-03,Payment,642.0
TX-0000072,CLM-000012,2021-10-03,CaseReserveEstimate,1479.39
TX-0000073,CLM-000012,2022-01-14,Payment,368.32
TX-0000074,CLM-000012,2022-01-14,CaseReserveEstimate,907.91
TX-0000075,CLM-000012,2025-12-15,Payment,969.1
TX-0000076,CLM-000012,2025-12-15,CaseReserveEstimate,0.0
TX-0000077,CLM-000013,2020-10-08,Payment,1.76
TX-0000078,CLM-000013,2020-10-08,CaseReserveEstimate,3122.19
TX-0000079,CLM-000013,2021-03-18,Payment,876.18
TX-0000080,CLM-000013,2021-03-18,CaseReserveEstimate,1518.55
TX-0000081,CLM-000013,2021-03-24,Payment,36.22
TX-0000082,CLM-000013,2021-03-24,CaseReserveEstimate,2702.56
TX-0000083,CLM-000013,2021-04-11,Payment,115.79
TX-0000084,CLM-000013,2021-04-11,CaseReserveEstimate,1558.84
TX-0000085,CLM-000013,2022-06-12,Payment,1797.49
TX-0000086,CLM-000013,2022-06-12,CaseReserveEstimate,0.0
TX-0000087,CLM-000014,2021-12-15,Payment,2732.18
TX-0000088,CLM-000014,2021-12-15,CaseReserveEstimate,624.86
TX-0000089,CLM-000014,2022-06-16,Payment,669.1
TX-0000090,CLM-000014,2022-06-16,CaseReserveEstimate,0.0
TX-0000091,CLM-000015,2021-05-18,Payment,12977.96
TX-0000092,CLM-000015,2021-05-18,CaseReserveEstimate,18543.53
TX-0000093,CLM-000015,2021-07-19,Payment,3562.42
TX-0000094,CLM-000015,2021-07-19,CaseReserveEstimate,11468.92
TX-0000095,CLM-000015,2022-09-23,Payment,14099.11
TX-0000096,CLM-000015,2022-09-23,CaseReserveEstimate,0.0
TX-0000097,CLM-000016,2021-03-23,Payment,937.13
TX-0000098,CLM-000016,2021-03-23,CaseReserveEstimate,1927.44
TX-0000099,CLM-000016,2021-06-23,Payment,771.59
TX-0000100,CLM-000016,2021-06-23,CaseReserveEstimate,1961.04
TX-0000101,CLM-000016,2022-01-25,Payment,1449.73
TX-0000102,CLM-000016,2022-01-25,CaseReserveEstimate,0.0
TX-0000103,CLM-000017,2021-01-11,Payment,3359.1
TX-0000104,CLM-000017,2021-01-11,CaseReserveEstimate,9855.8
TX-0000105,CLM-000017,2021-05-14,Payment,2416.68
TX-0000106,CLM-000017,2021-05-14,CaseReserveEstimate,4840.9
TX-0000107,CLM-000017,2021-09-17,Payment,1962.07
TX-0000108,CLM-000017,2021-09-17,CaseReserveEstimate,4040.41
TX-0000109,CLM-000017,2023-08-26,Payment,3605.68
TX-0000110,CLM-000017,2023-08-26,CaseReserveEstimate,0.0
TX-0000111,CLM-000018,2020-04-22,Payment,161.17
TX-0000112,CLM-000018,2020-04-22,CaseReserveEstimate,3209.3
TX-0000113,CLM-000018,2020-10-22,Payment,1198.5
TX-0000114,CLM-000018,2020-10-22,CaseReserveEstimate,1559.38
TX-0000115,CLM-000018,2021-10-04,Payment,1606.51
TX-0000116,CLM-000018,2021-10-04,CaseReserveEstimate,0.0
TX-0000117,CLM-000019,2021-01-30,Payment,1627.19
TX-0000118,CLM-000019,2021-01-30,CaseReserveEstimate,10253.2
TX-0000119,CLM-000019,2021-03-28,Payment,1530.27
TX-0000120,CLM-000019,2021-03-28,CaseReserveEstimate,9218.08
TX-0000121,CLM-000019,2021-09-17,Payment,4417.59
TX-0000122,CLM-000019,2021-09-17,CaseReserveEstimate,4900.79
TX-0000123,CLM-000019,2022-07-02,Payment,4611.68
TX-0000124,CLM-000019,2022-07-02,CaseReserveEstimate,0.0
TX-0000125,CLM-000020,2020-07-04,Payment,24.98
TX-0000126,CLM-000020,2020-07-04,CaseReserveEstimate,9579.21
TX-0000127,CLM-000020,2020-11-01,Payment,1727.11
TX-0000128,CLM-000020,2020-11-01,CaseReserveEstimate,7366.49
TX-0000129,CLM-000020,2020-12-05,Payment,588.61
TX-0000130,CLM-000020,2020-12-05,CaseReserveEstimate,6338.93
TX-0000131,CLM-000020,2021-09-14,Payment,4036.85
TX-0000132,CLM-000020,2021-09-14,CaseReserveEstimate,2305.98
TX-0000133,CLM-000020,2022-04-14,Payment,1621.29
TX-0000134,CLM-000020,2022-04-14,CaseReserveEstimate,0.0
TX-0000135,CLM-000021,2020-08-20,Payment,205.01
TX-0000136,CLM-000021,2020-08-20,CaseReserveEstimate,6487.81
TX-0000137,CLM-000021,2021-11-01,Payment,5062.5
TX-0000138,CLM-000021,2021-11-01,CaseReserveEstimate,2.48
TX-0000139,CLM-000021,2021-11-01,Payment,2.98
TX-0000140,CLM-000021,2021-11-01,CaseReserveEstimate,0.0
TX-0000141,CLM-000022,2022-01-01,Payment,4833.45
TX-0000142,CLM-000022,2022-01-01,CaseReserveEstimate,962.18
TX-0000143,CLM-000022,2022-04-12,Payment,559.09
TX-0000144,CLM-000022,2022-04-12,CaseReserveEstimate,326.16
TX-0000145,CLM-000022,2022-07-14,Payment,370.01
TX-0000146,CLM-000022,2022-07-14,CaseReserveEstimate,0.0
TX-0000147,CLM-000023,2020-04-19,Payment,343.43
TX-0000148,CLM-000023,2020-04-19,CaseReserveEstimate,3261.26
TX-0000149,CLM-000023,2020-08-13,Payment,1772.58
TX-0000150,CLM-000023,2020-08-13,CaseReserveEstimate,1625.26
TX-0000151,CLM-000023,2020-11-14,Payment,1474.92
TX-0000152,CLM-000023,2020-11-14,CaseReserveEstimate,0.0
TX-0000153,CLM-000024,2021-08-12,Payment,2708.06
TX-0000154,CLM-000024,2021-08-12,CaseReserveEstimate,4969.54
TX-0000155,CLM-000024,2022-10-01,Payment,4361.72
TX-0000156,CLM-000024,2022-10-01,CaseReserveEstimate,1408.01
TX-0000157,CLM-000024,2024-05-05,Payment,1314.66
TX-0000158,CLM-000024,2024-05-05,CaseReserveEstimate,0.0
TX-0000159,CLM-000025,2021-02-03,Payment,2200.37
TX-0000160,CLM-000025,2021-02-03,CaseReserveEstimate,2603.44
TX-0000161,CLM-000025,2021-03-22,Payment,1425.48
TX-0000162,CLM-000025,2021-03-22,CaseReserveEstimate,507.24
TX-0000163,CLM-000025,2021-04-08,Payment,562.53
TX-0000164,CLM-000025,2021-04-08,CaseReserveEstimate,0.0
TX-0000165,CLM-000026,2020-11-06,Payment,188.17
TX-0000166,CLM-000026,2020-11-06,CaseReserveEstimate,2334.34
TX-0000167,CLM-000026,2021-05-17,Payment,1112.31
TX-0000168,CLM-000026,2021-05-17,CaseReserveEstimate,976.29
TX-0000169,CLM-000026,2021-12-29,Payment,1012.93
TX-0000170,CLM-000026,2021-12-29,CaseReserveEstimate,0.0
TX-0000171,CLM-000027,2021-01-06,Payment,814.56
TX-0000172,CLM-000027,2021-01-06,CaseReserveEstimate,1068.72
TX-0000173,CLM-000027,2022-06-13,Payment,1366.65
TX-0000174,CLM-000027,2022-06-13,CaseReserveEstimate,36.02
TX-0000175,CLM-000027,2022-07-24,Payment,40.8
TX-0000176,CLM-000027,2022-07-24,CaseReserveEstimate,0.0
TX-0000177,CLM-000028,2020-12-22,Payment,251.03
TX-0000178,CLM-000028,2020-12-22,CaseReserveEstimate,8251.49
TX-0000179,CLM-000028,2021-05-22,Payment,2340.0
TX-0000180,CLM-000028,2021-05-22,CaseReserveEstimate,4920.22
TX-0000181,CLM-000028,2021-05-23,Payment,13.05
TX-0000182,CLM-000028,2021-05-23,CaseReserveEstimate,4521.01
TX-0000183,CLM-000028,2021-10-15,Payment,2174.3
TX-0000184,CLM-000028,2021-10-15,CaseReserveEstimate,1813.07
TX-0000185,CLM-000028,2022-04-24,Payment,2013.44
TX-0000186,CLM-000028,2022-04-24,CaseReserveEstimate,0.0
TX-0000187,CLM-000029,2020-09-03,Payment,635.43
TX-0000188,CLM-000029,2020-09-03,CaseReserveEstimate,17195.28
TX-0000189,CLM-000029,2021-05-17,Payment,9091.86
TX-0000190,CLM-000029,2021-05-17,CaseReserveEstimate,10025.81
TX-0000191,CLM-000029,2021-05-23,Payment,202.3
TX-0000192,CLM-000029,2021-05-23,CaseReserveEstimate,8094.92
TX-0000193,CLM-000029,2022-02-05,Payment,6209.98
TX-0000194,CLM-000029,2022-02-05,CaseReserveEstimate,3757.86
TX-0000195,CLM-000029,2023-08-19,Payment,3928.22
TX-0000196,CLM-000029,2023-08-19,CaseReserveEstimate,0.0
TX-0000197,CLM-000030,2020-10-31,Payment,827.01
TX-0000198,CLM-000030,2020-10-31,CaseReserveEstimate,4958.33
TX-0000199,CLM-000030,2020-11-07,Payment,93.31
TX-0000200,CLM-000030,2020-11-07,CaseReserveEstimate,5962.58
TX-0000201,CLM-000030,2022-11-01,Payment,5405.07
TX-0000202,CLM-000030,2022-11-01,CaseReserveEstimate,522.18
TX-0000203,CLM-000030,2023-09-14,Payment,365.59
TX-0000204,CLM-000030,2023-09-14,CaseReserveEstimate,50.16
TX-0000205,CLM-000030,2023-12-03,Payment,35.26
TX-0000206,CLM-000030,2023-12-03,CaseReserveEstimate,0.0
TX-0000207,CLM-000031,2021-01-27,Payment,1920.74
TX-0000208,CLM-000031,2021-01-27,CaseReserveEstimate,3289.3
TX-0000209,CLM-000031,2021-02-15,Payment,180.27
TX-0000210,CLM-000031,2021-02-15,CaseReserveEstimate,3523.29
TX-0000211,CLM-000031,2021-03-04,Payment,160.09
TX-0000212,CLM-000031,2021-03-04,CaseReserveEstimate,2591.99
TX-0000213,CLM-000031,2021-10-16,Payment,1664.68
TX-0000214,CLM-000031,2021-10-16,CaseReserveEstimate,1426.24
TX-0000215,CLM-000031,2025-03-21,Payment,1501.26
TX-0000216,CLM-000031,2025-03-21,CaseReserveEstimate,0.0
TX-0000217,CLM-000032,2020-11-12,Payment,2476.91
TX-0000218,CLM-000032,2020-11-12,CaseReserveEstimate,5842.37
TX-0000219,CLM-000032,2021-06-30,Payment,2809.26
TX-0000220,CLM-000032,2021-06-30,CaseReserveEstimate,2485.33
TX-0000221,CLM-000032,2021-07-14,Payment,131.72
TX-0000222,CLM-000032,2021-07-14,CaseReserveEstimate,3226.47
TX-0000223,CLM-000032,2022-05-30,Payment,1846.44
TX-0000224,CLM-000032,2022-05-30,CaseReserveEstimate,182.43
TX-0000225,CLM-000032,2022-07-21,Payment,146.51
TX-0000226,CLM-000032,2022-07-21,CaseReserveEstimate,0.0
TX-0000227,CLM-000033,2021-07-20,Payment,12827.77
TX-0000228,CLM-000033,2021-07-20,CaseReserveEstimate,3026.53
TX-0000229,CLM-000033,2022-02-13,Payment,2212.18
TX-0000230,CLM-000033,2022-02-13,CaseReserveEstimate,1513.15
TX-0000231,CLM-000033,2022-11-19,Payment,1220.92
TX-0000232,CLM-000033,2022-11-19,CaseReserveEstimate,0.0
TX-0000233,CLM-000034,2022-01-06,Payment,5453.62
TX-0000234,CLM-000034,2022-01-06,CaseReserveEstimate,1415.48
TX-0000235,CLM-000034,2023-08-14,Payment,1587.47
TX-0000236,CLM-000034,2023-08-14,CaseReserveEstimate,0.0
TX-0000237,CLM-000034,2023-12-18,Payment,691.17
TX-0000238,CLM-000034,2023-12-18,CaseReserveEstimate,0.0
TX-0000239,CLM-000035,2021-04-12,Payment,1627.0
TX-0000240,CLM-000035,2021-04-12,CaseReserveEstimate,3526.09
TX-0000241,CLM-000035,2021-11-02,Payment,2705.96
TX-0000242,CLM-000035,2021-11-02,CaseReserveEstimate,0.0
TX-0000243,CLM-000036,2021-07-30,Payment,13372.51
TX-0000244,CLM-000036,2021-07-30,CaseReserveEstimate,611.24
TX-0000245,CLM-000036,2021-09-09,Payment,569.78
TX-0000246,CLM-000036,2021-09-09,CaseReserveEstimate,0.0
TX-0000247,CLM-000037,2021-01-06,Payment,13.3
TX-0000248,CLM-000037,2021-01-06,CaseReserveEstimate,7207.95
TX-0000249,CLM-000037,2021-02-28,Payment,600.43
TX-0000250,CLM-000037,2021-02-28,CaseReserveEstimate,5584.98
TX-0000251,CLM-000037,2022-02-16,Payment,5076.82
TX-0000252,CLM-000037,2022-02-16,CaseReserveEstimate,3013.36
TX-0000253,CLM-000037,2022-02-21,Payment,51.98
TX-0000254,CLM-000037,2022-02-21,CaseReserveEstimate,2748.79
TX-0000255,CLM-000037,2023-05-17,Payment,2530.82
TX-0000256,CLM-000037,2023-05-17,CaseReserveEstimate,0.0
TX-0000257,CLM-000038,2021-06-28,Payment,9440.12
TX-0000258,CLM-000038,2021-06-28,CaseReserveEstimate,7454.52
TX-0000259,CLM-000038,2022-04-21,Payment,9968.86
TX-0000260,CLM-000038,2022-04-21,CaseReserveEstimate,0.0
TX-0000261,CLM-000039,2020-06-06,Payment,465.85
TX-0000262,CLM-000039,2020-06-06,CaseReserveEstimate,7059.28
TX-0000263,CLM-000039,2021-03-21,Payment,5323.26
TX-0000264,CLM-000039,2021-03-21,CaseReserveEstimate,1111.78
TX-0000265,CLM-000039,2021-03-31,Payment,163.41
TX-0000266,CLM-000039,2021-03-31,CaseReserveEstimate,896.76
TX-0000267,CLM-000039,2021-06-02,Payment,895.23
TX-0000268,CLM-000039,2021-06-02,CaseReserveEstimate,0.0
TX-0000269,CLM-000040,2020-09-24,Payment,228.31
TX-0000270,CLM-000040,2020-09-24,CaseReserveEstimate,2176.24
TX-0000271,CLM-000040,2021-02-16,Payment,2087.13
TX-0000272,CLM-000040,2021-02-16,CaseReserveEstimate,0.0
TX-0000273,CLM-000041,2020-08-23,Payment,958.95
TX-0000274,CLM-000041,2020-08-23,CaseReserveEstimate,910.43
TX-0000275,CLM-000041,2021-02-12,Payment,1113.88
TX-0000276,CLM-000041,2021-02-12,CaseReserveEstimate,0.0
TX-0000277,CLM-000042,2020-11-19,Payment,987.54
TX-0000278,CLM-000042,2020-11-19,CaseReserveEstimate,20138.11
TX-0000279,CLM-000042,2021-08-01,Payment,9713.01
TX-0000280,CLM-000042,2021-08-01,CaseReserveEstimate,14723.4
TX-0000281,CLM-000042,2022-01-24,Payment,4967.61
TX-0000282,CLM-000042,2022-01-24,CaseReserveEstimate,4137.49
TX-0000283,CLM-000042,2023-07-22,Payment,5541.36
TX-0000284,CLM-000042,2023-07-22,CaseReserveEstimate,0.0
TX-0000285,CLM-000043,2021-01-20,Payment,11184.52
TX-0000286,CLM-000043,2021-01-20,CaseReserveEstimate,9905.42
TX-0000287,CLM-000043,2021-03-22,Payment,7065.76
TX-0000288,CLM-000043,2021-03-22,CaseReserveEstimate,3899.23
TX-0000289,CLM-000043,2021-04-28,Payment,4181.49
TX-0000290,CLM-000043,2021-04-28,CaseReserveEstimate,0.0
TX-0000291,CLM-000044,2021-02-16,Payment,2316.75
TX-0000292,CLM-000044,2021-02-16,CaseReserveEstimate,2324.11
TX-0000293,CLM-000044,2021-11-01,Payment,1762.4
TX-0000294,CLM-000044,2021-11-01,CaseReserveEstimate,888.83
TX-0000295,CLM-000044,2022-06-20,Payment,764.4
TX-0000296,CLM-000044,2022-06-20,CaseReserveEstimate,328.34
TX-0000297,CLM-000044,2022-09-10,Payment,150.21
TX-0000298,CLM-000044,2022-09-10,CaseReserveEstimate,223.34
TX-0000299,CLM-000044,2023-02-21,Payment,184.65
TX-0000300,CLM-000044,2023-02-21,CaseReserveEstimate,0.0
TX-0000301,CLM-000045,2020-07-13,Payment,1488.75
TX-0000302,CLM-000045,2020-07-13,CaseReserveEstimate,3669.77
TX-0000303,CLM-000045,2020-09-16,Payment,993.6
TX-0000304,CLM-000045,2020-09-16,CaseReserveEstimate,1670.96
TX-0000305,CLM-000045,2021-01-23,Payment,1781.64
TX-0000306,CLM-000045,2021-01-23,CaseReserveEstimate,143.45
TX-0000307,CLM-000045,2021-02-05,Payment,162.55
TX-0000308,CLM-000045,2021-02-05,CaseReserveEstimate,0.0
TX-0000309,CLM-000046,2022-03-11,Payment,12129.96
TX-0000310,CLM-000046,2022-03-11,CaseReserveEstimate,7869.24
TX-0000311,CLM-000046,2022-06-19,Payment,3348.81
TX-0000312,CLM-000046,2022-06-19,CaseReserveEstimate,2636.49
TX-0000313,CLM-000046,2022-10-08,Payment,2850.43
TX-0000314,CLM-000046,2022-10-08,CaseReserveEstimate,0.0
TX-0000315,CLM-000047,2020-08-11,Payment,169.43
TX-0000316,CLM-000047,2020-08-11,CaseReserveEstimate,2846.39
TX-0000317,CLM-000047,2021-04-24,Payment,1370.26
TX-0000318,CLM-000047,2021-04-24,CaseReserveEstimate,785.15
TX-0000319,CLM-000047,2021-04-25,Payment,7.52
TX-0000320,CLM-000047,2021-04-25,CaseReserveEstimate,1110.94
TX-0000321,CLM-000047,2021-05-05,Payment,46.31
TX-0000322,CLM-000047,2021-05-05,CaseReserveEstimate,790.13
TX-0000323,CLM-000047,2022-02-15,Payment,941.11
TX-0000324,CLM-000047,2022-02-15,CaseReserveEstimate,0.0
TX-0000325,CLM-000048,2021-01-21,Payment,25.89
TX-0000326,CLM-000048,2021-01-21,CaseReserveEstimate,3367.06
TX-0000327,CLM-000048,2021-10-01,Payment,2959.08
TX-0000328,CLM-000048,2021-10-01,CaseReserveEstimate,0.0
TX-0000329,CLM-000049,2021-03-07,Payment,2514.71
TX-0000330,CLM-000049,2021-03-07,CaseReserveEstimate,5648.31
TX-0000331,CLM-000049,2021-06-18,Payment,1783.55
TX-0000332,CLM-000049,2021-06-18,CaseReserveEstimate,5026.28
TX-0000333,CLM-000049,2022-07-18,Payment,4153.62
TX-0000334,CLM-000049,2022-07-18,CaseReserveEstimate,1880.1
TX-0000335,CLM-000049,2024-08-27,Payment,1308.37
TX-0000336,CLM-000049,2024-08-27,CaseReserveEstimate,0.0
TX-0000337,CLM-000050,2022-07-13,Payment,3761.88
TX-0000338,CLM-000050,2022-07-13,CaseReserveEstimate,493.29
TX-0000339,CLM-000050,2023-11-15,Payment,625.9
TX-0000340,CLM-000050,2023-11-15,CaseReserveEstimate,0.0
TX-0000341,CLM-000051,2020-12-21,Payment,504.41
TX-0000342,CLM-000051,2020-12-21,CaseReserveEstimate,4630.11
TX-0000343,CLM-000051,2021-05-19,Payment,2215.73
TX-0000344,CLM-000051,2021-05-19,CaseReserveEstimate,2503.18
TX-0000345,CLM-000051,2021-07-29,Payment,1023.66
TX-0000346,CLM-000051,2021-07-29,CaseReserveEstimate,2567.16
TX-0000347,CLM-000051,2022-02-08,Payment,2179.14
TX-0000348,CLM-000051,2022-02-08,CaseReserveEstimate,0.0
TX-0000349,CLM-000052,2020-08-29,Payment,1987.57
TX-0000350,CLM-000052,2020-08-29,CaseReserveEstimate,3829.37
TX-0000351,CLM-000052,2020-09-09,Payment,162.73
TX-0000352,CLM-000052,2020-09-09,CaseReserveEstimate,2718.96
TX-0000353,CLM-000052,2020-12-10,Payment,1373.51
TX-0000354,CLM-000052,2020-12-10,CaseReserveEstimate,1920.75
TX-0000355,CLM-000052,2021-04-26,Payment,1690.5
TX-0000356,CLM-000052,2021-04-26,CaseReserveEstimate,38.47
TX-0000357,CLM-000052,2021-04-28,Payment,28.63
TX-0000358,CLM-000052,2021-04-28,CaseReserveEstimate,0.0
TX-0000359,CLM-000053,2021-01-03,Payment,3689.84
TX-0000360,CLM-000053,2021-01-03,CaseReserveEstimate,3996.18
TX-0000361,CLM-000053,2021-06-02,Payment,2455.09
TX-0000362,CLM-000053,2021-06-02,CaseReserveEstimate,1363.35
TX-0000363,CLM-000053,2021-10-11,Payment,1567.27
TX-0000364,CLM-000053,2021-10-11,CaseReserveEstimate,0.0
TX-0000365,CLM-000054,2021-02-20,Payment,8239.38
TX-0000366,CLM-000054,2021-02-20,CaseReserveEstimate,8103.99
TX-0000367,CLM-000054,2021-12-04,Payment,8106.11
TX-0000368,CLM-000054,2021-12-04,CaseReserveEstimate,1324.67
TX-0000369,CLM-000054,2021-12-19,Payment,291.44
TX-0000370,CLM-000054,2021-12-19,CaseReserveEstimate,897.52
TX-0000371,CLM-000054,2021-12-30,Payment,184.04
TX-0000372,CLM-000054,2021-12-30,CaseReserveEstimate,610.53
TX-0000373,CLM-000054,2022-02-14,Payment,761.97
TX-0000374,CLM-000054,2022-02-14,CaseReserveEstimate,0.0
TX-0000375,CLM-000055,2020-08-16,Payment,416.43
TX-0000376,CLM-000055,2020-08-16,CaseReserveEstimate,6250.28
TX-0000377,CLM-000055,2020-11-11,Payment,1451.88
TX-0000378,CLM-000055,2020-11-11,CaseReserveEstimate,3991.32
TX-0000379,CLM-000055,2021-02-22,Payment,1812.64
TX-0000380,CLM-000055,2021-02-22,CaseReserveEstimate,3857.39
TX-0000381,CLM-000055,2021-04-25,Payment,983.54
TX-0000382,CLM-000055,2021-04-25,CaseReserveEstimate,1750.42
TX-0000383,CLM-000055,2021-08-31,Payment,1711.59
TX-0000384,CLM-000055,2021-08-31,CaseReserveEstimate,0.0
TX-0000385,CLM-000056,2020-02-06,Payment,132.04
TX-0000386,CLM-000056,2020-02-06,CaseReserveEstimate,9630.37
TX-0000387,CLM-000056,2020-04-03,Payment,961.67
TX-0000388,CLM-000056,2020-04-03,CaseReserveEstimate,6767.36
TX-0000389,CLM-000056,2021-10-02,Payment,8671.14
TX-0000390,CLM-000056,2021-10-02,CaseReserveEstimate,0.0
TX-0000391,CLM-000057,2020-11-06,Payment,201.87
TX-0000392,CLM-000057,2020-11-06,CaseReserveEstimate,984.56
TX-0000393,CLM-000057,2020-12-26,Payment,170.69
TX-0000394,CLM-000057,2020-12-26,CaseReserveEstimate,1057.82
TX-0000395,CLM-000057,2021-10-05,Payment,853.22
TX-0000396,CLM-000057,2021-10-05,CaseReserveEstimate,0.0
TX-0000397,CLM-000058,2020-06-28,Payment,1682.22
TX-0000398,CLM-000058,2020-06-28,CaseReserveEstimate,4686.32
TX-0000399,CLM-000058,2020-07-04,Payment,118.07
TX-0000400,CLM-000058,2020-07-04,CaseReserveEstimate,4940.18
TX-0000401,CLM-000058,2020-10-13,Payment,1977.81
TX-0000402,CLM-000058,2020-10-13,CaseReserveEstimate,2062.25
TX-0000403,CLM-000058,2020-10-24,Payment,202.04
TX-0000404,CLM-000058,2020-10-24,CaseReserveEstimate,2064.16
TX-0000405,CLM-000058,2021-02-02,Payment,1747.2
TX-0000406,CLM-000058,2021-02-02,CaseReserveEstimate,0.0
TX-0000407,CLM-000059,2020-12-29,Payment,521.77
TX-0000408,CLM-000059,2020-12-29,CaseReserveEstimate,1919.46
TX-0000409,CLM-000059,2021-01-26,Payment,241.26
TX-0000410,CLM-000059,2021-01-26,CaseReserveEstimate,2170.73
TX-0000411,CLM-000059,2021-11-14,Payment,2342.73
TX-0000412,CLM-000059,2021-11-14,CaseReserveEstimate,0.0
TX-0000413,CLM-000060,2020-11-26,Payment,193.49
TX-0000414,CLM-000060,2020-11-26,CaseReserveEstimate,2093.33
TX-0000415,CLM-000060,2021-04-14,Payment,630.49
TX-0000416,CLM-000060,2021-04-14,CaseReserveEstimate,1388.78
TX-0000417,CLM-000060,2021-04-30,Payment,71.08
TX-0000418,CLM-000060,2021-04-30,CaseReserveEstimate,1383.27
TX-0000419,CLM-000060,2021-09-08,Payment,525.86
TX-0000420,CLM-000060,2021-09-08,CaseReserveEstimate,792.84
TX-0000421,CLM-000060,2022-12-23,Payment,904.62
