claim_id,rating_group,accident_year,accident_date,report_date,close_date,status
CLM-000047,A,2020,2020-06-12,2020-06-25,2022-02-15,Closed
CLM-000048,A,2020,2020-11-22,2021-01-15,2021-10-01,Closed
CLM-000049,A,2020,2020-09-05,2020-09-28,2024-08-27,Closed
CLM-000050,A,2020,2020-10-11,2020-10-28,2023-11-15,Closed
CLM-000051,A,2020,2020-10-05,2020-11-01,2022-02-08,Closed
CLM-000052,A,2020,2020-03-12,2020-04-01,2021-04-28,Closed
CLM-000053,A,2020,2020-05-13,2020-06-03,2021-10-11,Closed
CLM-000054,A,2020,2020-06-19,2020-07-04,2022-02-14,Closed
CLM-000055,A,2020,2020-07-01,2020-07-08,2021-08-31,Closed
CLM-000056,A,2020,2020-01-17,2020-01-23,2021-10-02,Closed
CLM-000057,A,2020,2020-07-19,2020-08-19,2021-10-05,Closed
CLM-000058,A,2020,2020-02-26,2020-03-13,2021-02-02,Closed
CLM-000059,A,2020,2020-09-29,2020-10-12,2021-11-14,Closed
CLM-000060,A,2020,2020-09-06,2020-09-26,2022-12-23,Closed
CLM-000061,A,2020,2020-12-03,2021-01-06,2023-02-03,Closed
CLM-000062,A,2020,2020-09-29,2020-10-21,2021-06-23,Closed
CLM-000063,A,2020,2020-05-14,2020-05-26,2023-03-01,Closed
CLM-000064,A,2020,2020-12-20,2021-02-05,2022-08-29,Closed
CLM-000065,A,2020,2020-05-30,2020-07-29,2021-12-01,Closed
CLM-000066,A,2020,2020-04-29,2020-05-27,2023-01-02,Closed
CLM-000067,A,2020,2020-11-27,2021-01-05,2023-01-05,Closed
CLM-000068,A,2020,2020-05-15,2020-07-01,2021-06-23,Closed
CLM-000069,A,2020,2020-01-28,2020-03-12,2021-01-20,Closed
CLM-000070,A,2020,2020-06-20,2020-07-20,2021-09-27,Closed
CLM-000071,A,2020,2020-10-18,2020-11-17,2022-02-25,Closed
CLM-000072,A,2020,2020-03-10,2020-04-07,2020-09-24,Closed
CLM-000073,A,2020,2020-06-18,2020-06-27,2021-06-15,Closed
CLM-000074,A,2020,2020-02-17,2020-03-20,2022-01-29,Closed
CLM-000075,A,2020,2020-09-08,2020-09-15,2020-12-03,Closed
CLM-000076,A,2020,2020-06-23,2020-07-04,2021-12-27,Closed
CLM-000077,A,2020,2020-04-30,2020-06-18,2021-11-27,Closed
CLM-000078,A,2020,2020-03-24,2020-04-29,2022-09-12,Closed
CLM-000079,A,2020,2020-07-25,2020-09-19,2022-02-08,Closed
CLM-000080,A,2020,2020-09-02,2020-09-18,2022-02-24,Closed
CLM-000081,A,2020,2020-12-10,2020-12-18,2023-08-04,Closed
CLM-000082,A,2020,2020-06-08,2020-06-24,2021-08-24,Closed
CLM-000083,A,2020,2020-02-28,2020-03-20,2022-10-04,Closed
CLM-000084,A,2020,2020-10-31,2020-11-21,2022-09-07,Closed
CLM-000085,A,2020,2020-08-18,2020-10-01,2022-03-24,Closed
CLM-000086,A,2020,2020-09-13,2020-09-28,2022-07-13,Closed
CLM-000087,A,2020,2020-02-05,2020-03-01,2022-09-28,Closed
CLM-000088,A,2020,2020-04-24,2020-05-04,2021-02-26,Closed
CLM-000089,A,2020,2020-10-08,2020-11-04,2022-08-08,Closed
CLM-000090,A,2020,2020-10-31,2020-11-20,2023-03-24,Closed
CLM-000091,A,2020,2020-06-08,2020-06-19,2021-11-25,Closed
CLM-000092,A,2020,2020-10-21,2020-11-06,2021-11-13,Closed
CLM-000093,A,2020,2020-11-04,2020-11-21,2021-09-09,Closed
CLM-000094,A,2020,2020-05-21,2020-06-06,2022-11-09,Closed
CLM-000095,A,2020,2020-11-24,2021-02-01,2022-04-26,Closed
CLM-000096,A,2020,2020-04-15,2020-05-03,2022-03-03,Closed
CLM-000097,A,2020,2020-03-28,2020-04-13,2021-09-05,Closed
CLM-000098,A,2020,2020-09-06,2020-09-10,2022-10-20,Closed
CLM-000099,A,2020,2020-08-21,2020-08-31,2022-05-29,Closed
CLM-000100,A,2020,2020-02-21,2020-03-08,2021-07-04,Closed
CLM-000101,A,2020,2020-10-31,2020-11-12,2022-07-20,Closed
CLM-000102,A,2020,2020-03-14,2020-05-05,2022-05-27,Closed
CLM-000103,A,2020,2020-10-21,2020-11-07,2022-06-23,Closed
CLM-000104,A,2020,2020-01-03,2020-02-21,2021-04-18,Closed
CLM-000105,A,2020,2020-10-18,2020-11-07,2023-03-16,Closed
CLM-000106,A,2020,2020-10-15,2020-11-04,2022-04-17,Closed
CLM-000107,A,2020,2020-10-12,2020-10-30,2021-09-29,Closed
CLM-000108,A,2020,2020-08-31,2020-09-20,2021-12-01,Closed
CLM-000109,A,2020,2020-06-21,2020-08-26,2022-01-29,Closed
CLM-000110,A,2020,2020-09-15,2020-09-18,2022-05-23,Closed
CLM-000111,A,2020,2020-04-11,2020-04-15,2021-09-26,Closed
CLM-000112,A,2020,2020-10-12,2020-10-25,2021-09-18,Closed
CLM-000113,A,2020,2020-07-22,2020-08-11,2023-01-13,Closed
CLM-000114,A,2020,2020-06-16,2020-07-18,2022-02-17,Closed
CLM-000115,A,2020,2020-07-04,2020-07-31,2021-08-20,Closed
CLM-000116,A,2020,2020-07-27,2020-08-11,2021-02-12,Closed
CLM-000117,A,2020,2020-01-14,2020-02-23,2021-03-15,Closed
CLM-000118,A,2020,2020-02-21,2020-04-02,2023-04-14,Closed
CLM-000119,A,2020,2020-03-30,2020-04-21,2021-09-19,Closed
CLM-000120,A,2020,2020-02-11,2020-03-21,2020-10-04,Closed
CLM-000121,A,2020,2020-06-09,2020-07-03,2021-09-28,Closed
CLM-000122,A,2020,2020-09-01,2020-09-14,2022-08-15,Closed
CLM-000123,A,2020,2020-08-27,2020-09-28,2023-02-20,Closed
CLM-000124,A,2020,2020-06-21,2020-07-12,2022-01-03,Closed
CLM-000125,A,2020,2020-11-08,2020-11-28,2023-01-07,Closed
CLM-000126,A,2020,2020-07-25,2020-09-19,2021-10-05,Closed
CLM-000127,A,2020,2020-01-29,2020-02-01,2022-06-28,Closed
CLM-000128,A,2020,2020-10-06,2020-10-13,2021-12-10,Closed
CLM-000129,A,2020,2020-07-29,2020-08-06,2021-05-26,Closed
CLM-000130,A,2020,2020-08-20,2020-09-04,2022-11-17,Closed
CLM-000131,A,2020,2020-07-25,2020-08-10,2023-05-05,Closed
CLM-000132,A,2020,2020-07-21,2020-07-27,2022-11-28,Closed
CLM-000133,A,2020,2020-02-03,2020-02-13,2022-05-14,Closed
CLM-000134,A,2020,2020-07-23,2020-08-02,2022-06-06,Closed
CLM-000135,A,2020,2020-10-17,2021-02-05,2021-08-19,Closed
CLM-000136,A,2020,2020-04-21,2020-06-30,2022-04-30,Closed
CLM-000137,A,2020,2020-08-08,2020-08-22,2022-04-30,Closed
CLM-000138,A,2020,2020-01-12,2020-01-27,2021-10-15,Closed
CLM-000139,A,2020,2020-05-07,2020-05-15,2022-01-06,Closed
CLM-000140,A,2020,2020-06-08,2020-06-13,2023-12-30,Closed
CLM-000141,A,2020,2020-12-25,2021-01-12,2023-04-10,Closed
CLM-000142,A,2020,2020-03-19,2020-03-28,2021-05-26,Closed
CLM-000143,A,2020,2020-04-11,2020-04-29,2020-11-24,Closed
CLM-000144,A,2020,2020-05-29,2020-06-04,2021-10-24,Closed
CLM-000145,A,2020,2020-12-29,2021-01-09,2024-03-04,Closed
CLM-000146,A,2020,2020-11-08,2020-11-30,2022-05-14,Closed
CLM-000147,A,2020,2020-01-13,2020-02-07,2022-01-31,Closed
CLM-000148,A,2020,2020-03-26,2020-04-21,2021-08-10,Closed
CLM-000149,A,2020,2020-10-27,2020-11-03,2021-11-06,Closed
CLM-000150,A,2020,2020-01-22,2020-02-27,2020-11-01,Closed
CLM-000151,A,2020,2020-11-09,2020-11-20,2024-01-06,Closed
CLM-000152,A,2020,2020-04-12,2020-05-13,2022-08-10,Closed
CLM-000153,A,2020,2020-12-01,2020-12-20,2023-03-24,Closed
CLM-000154,A,2020,2020-04-17,2020-04-24,2021-06-09,Closed
CLM-000155,A,2020,2020-06-07,2020-06-23,2022-06-30,Closed
CLM-000156,A,2020,2020-08-30,2020-09-24,2023-01-30,Closed
CLM-000157,A,2020,2020-02-16,2020-03-17,2020-12-13,Closed
CLM-000158,A,2020,2020-07-22,2020-08-09,2021-12-02,Closed
CLM-000159,A,2020,2020-07-03,2020-08-30,2021-11-27,Closed
CLM-000160,A,2020,2020-10-13,2020-11-22,2022-06-28,Closed
CLM-000161,A,2020,2020-12-30,2021-01-15,2022-01-30,Closed
CLM-000162,A,2020,2020-08-31,2020-10-03,2022-10-18,Closed
CLM-000163,A,2020,2020-05-29,2020-08-14,2022-02-25,Closed
CLM-000164,A,2020,2020-05-28,2020-08-14,2023-09-08,Closed
CLM-000165,A,2020,2020-06-01,2020-06-09,2021-04-11,Closed
CLM-000166,A,2020,2020-10-24,2020-11-03,2021-05-08,Closed
CLM-000167,A,2020,2020-04-27,2020-06-22,2023-05-04,Closed
CLM-000168,A,2020,2020-03-02,2020-03-11,2021-05-31,Closed
CLM-000169,A,2020,2020-05-02,2020-05-09,2021-07-18,Closed
CLM-000170,A,2020,2020-01-09,2020-01-23,2023-03-08,Closed
CLM-000171,A,2020,2020-02-08,2020-03-05,2023-03-14,Closed
CLM-000172,A,2020,2020-02-02,2020-02-20,2021-05-18,Closed
CLM-000173,A,2020,2020-10-09,2020-10-21,2023-09-04,Closed
CLM-000174,A,2020,2020-09-21,2020-10-03,2021-06-04,Closed
CLM-000175,A,2020,2020-09-12,2020-09-24,2022-12-04,Closed
CLM-000176,A,2020,2020-06-18,2020-06-28,2021-10-07,Closed
CLM-000177,A,2020,2020-09-19,2020-12-26,2023-01-06,Closed
CLM-000178,A,2020,2020-02-29,2020-03-24,2021-10-04,Closed
CLM-000179,A,2020,2020-11-25,2021-01-01,2022-12-11,Closed
CLM-000180,A,2020,2020-07-02,2020-07-16,2021-04-21,Closed
CLM-000181,A,2020,2020-12-09,,2023-03-28,Closed
CLM-000182,A,2020,2020-02-25,2020-03-08,2021-09-24,Closed
CLM-000183,A,2020,2020-07-01,2020-07-04,2021-01-31,Closed
CLM-000184,A,2020,2020-09-11,2020-09-18,2021-04-22,Closed
CLM-000185,A,2020,2020-06-30,2020-07-05,2022-05-16,Closed
CLM-000186,A,2020,2020-06-12,2020-06-16,2021-02-27,Closed
CLM-000187,A,2020,2020-03-01,2020-03-09,2021-05-03,Closed
CLM-000188,A,2020,2020-05-19,2020-07-08,2021-09-08,Closed
CLM-000189,A,2020,2020-03-28,2020-04-16,2021-05-27,Closed
CLM-000190,A,2020,2020-04-20,2020-06-08,2023-04-08,Closed
CLM-000191,A,2020,2020-09-07,2020-10-03,2021-05-07,Closed
CLM-000192,A,2020,2020-08-18,2020-09-21,2023-08-03,Closed
CLM-000193,A,2020,2020-08-10,2020-08-20,2023-03-10,Closed
CLM-000194,A,2020,2020-05-12,2020-06-09,2021-10-23,Closed
CLM-000195,A,2020,2020-12-17,2021-01-19,2022-11-24,Closed
CLM-000196,A,2020,2020-02-02,2020-02-15,2022-06-23,Closed
CLM-000197,A,2020,2020-05-05,2020-06-03,2022-01-29,Closed
CLM-000198,A,2020,2020-02-13,2020-03-13,2021-01-22,Closed
CLM-000199,A,2020,2020-05-04,2020-05-17,2023-03-02,Closed
CLM-000200,A,2020,2020-12-18,2020-12-27,2022-08-15,Closed
CLM-000201,A,2020,2020-05-14,2020-05-22,2021-12-07,Closed
CLM-000202,A,2020,2020-11-28,2020-12-19,2023-03-24,Closed
CLM-000203,A,2020,2020-06-30,2020-07-25,2022-05-24,Closed
CLM-000204,A,2020,2020-09-13,2020-09-24,2022-03-01,Closed
CLM-000205,A,2020,2020-06-16,2020-07-06,2022-07-24,Closed
CLM-000206,A,2020,2020-04-07,2020-05-06,2021-10-01,Closed
CLM-000207,A,2020,2020-10-06,,2021-06-06,Closed
CLM-000208,A,2020,2020-12-20,2021-02-17,2021-08-27,Closed
CLM-000209,A,2020,2020-04-06,2020-05-24,2021-09-15,Closed
CLM-000210,A,2020,2020-10-12,2020-10-21,2025-04-04,Closed
CLM-000211,A,2020,2020-04-05,2020-06-08,2021-06-19,Closed
CLM-000212,A,2020,2020-09-19,2020-10-02,2021-07-06,Closed
CLM-000213,A,2020,2020-10-15,2020-11-25,2023-04-17,Closed
CLM-000214,A,2020,2020-06-13,2020-07-03,2022-08-06,Closed
CLM-000215,A,2020,2020-09-26,2020-10-10,2023-12-25,Closed
CLM-000216,A,2020,2020-04-09,2020-04-14,2020-08-19,Closed
CLM-000217,A,2020,2020-01-30,2020-02-16,2021-09-05,Closed
CLM-000218,A,2020,2020-02-05,2020-02-11,2022-02-03,Closed
CLM-000219,A,2020,2020-06-12,2020-07-21,2021-08-05,Closed
CLM-000220,A,2020,2020-11-26,2021-01-22,2022-04-20,Closed
CLM-000221,A,2020,2020-02-16,2020-02-27,2021-06-11,Closed
CLM-000222,A,2020,2020-06-15,2020-07-09,2023-04-16,Closed
CLM-000223,A,2020,2020-09-14,2020-09-26,2021-05-07,Closed
CLM-000224,A,2020,2020-03-15,2020-03-27,2022-05-05,Closed
CLM-000225,A,2020,2020-09-21,2020-10-25,2021-10-26,Closed
CLM-000226,A,2020,2020-04-21,2020-05-10,2022-08-11,Closed
CLM-000227,A,2020,2020-10-22,2020-12-28,2021-08-04,Closed
CLM-000228,A,2020,2020-07-30,2020-08-13,2021-09-15,Closed
CLM-000229,A,2020,2020-07-19,2020-08-28,2023-04-25,Closed
CLM-000230,A,2020,2020-03-05,2020-03-26,2021-11-25,Closed
CLM-000231,A,2020,2020-06-18,2020-07-22,2022-07-01,Closed
CLM-000232,A,2020,2020-11-09,2020-11-23,2021-06-20,Closed
CLM-000233,A,2020,2020-01-08,2020-01-27,2020-10-11,Closed
CLM-000234,A,2020,2020-10-04,2020-10-22,2022-07-22,Closed
CLM-000235,A,2020,2020-06-29,2020-07-10,2022-12-31,Closed
CLM-000236,A,2020,2020-09-20,2020-10-21,2022-01-30,Closed
CLM-000237,A,2020,2020-08-30,2020-09-30,2022-05-31,Closed
CLM-000238,A,2020,2020-06-07,2020-07-07,2023-07-28,Closed
CLM-000239,A,2020,2020-04-22,2020-06-19,2021-10-04,Closed
CLM-000240,A,2020,2020-08-17,2020-10-11,2022-05-08,Closed
CLM-000241,A,2020,2020-02-21,2020-03-07,2020-09-04,Closed
CLM-000242,A,2020,2020-08-01,2020-08-26,2022-01-24,Closed
CLM-000243,A,2020,2020-02-04,2020-02-16,2020-12-23,Closed
CLM-000244,A,2020,2020-08-25,2020-09-14,2022-08-06,Closed
CLM-000245,A,2020,2020-08-18,2020-08-31,2021-10-14,Closed
CLM-000246,A,2020,2020-01-31,2020-04-02,2022-05-19,Closed
CLM-000247,A,2020,2020-10-04,2020-10-29,2023-10-02,Closed
CLM-000248,A,2020,2020-06-01,2020-06-18,2022-07-20,Closed
CLM-000249,A,2020,2020-10-15,2020-11-30,2022-03-04,Closed
CLM-000250,A,2020,2020-01-16,2020-01-20,2022-03-23,Closed
CLM-000251,A,2020,2020-03-06,2020-03-10,2021-06-10,Closed
CLM-000252,A,2020,2020-06-29,2020-08-02,2021-11-02,Closed
CLM-000253,A,2020,2020-03-09,2020-03-29,2021-11-20,Closed
CLM-000254,A,2020,2020-04-30,2020-05-23,2020-10-17,Closed
CLM-000255,A,2020,2020-08-29,2020-09-05,2022-05-22,Closed
CLM-000256,A,2020,2020-02-22,2020-03-12,2021-06-08,Closed
CLM-000257,A,2020,2020-09-05,2020-11-25,2023-07-29,Closed
CLM-000258,A,2020,2020-02-07,2020-03-13,2022-03-24,Closed
CLM-000259,A,2020,2020-03-05,2020-03-27,2023-01-03,Closed
CLM-000260,A,2020,2020-08-03,2020-08-17,2021-08-28,Closed
CLM-000261,A,2020,2020-10-17,2020-11-01,2022-12-10,Closed
CLM-000262,A,2020,2020-03-03,2020-03-07,2021-07-11,Closed
CLM-000263,A,2020,2020-04-19,2020-05-12,2022-09-18,Closed
CLM-000264,A,2020,2020-12-04,2021-01-09,2021-11-02,Closed
CLM-000265,A,2020,2020-12-28,2021-01-03,2022-09-03,Closed
CLM-000266,A,2020,2020-07-31,2020-08-12,2022-12-12,Closed
CLM-000267,A,2020,2020-06-12,2020-06-20,2022-02-06,Closed
CLM-000268,A,2020,2020-05-06,2020-05-16,2023-01-11,Closed
CLM-000269,A,2020,2020-08-12,2020-09-01,2023-11-29,Closed
CLM-000270,A,2020,2020-08-04,2020-08-08,2022-04-07,Closed
CLM-000271,A,2020,2020-04-17,2020-05-17,2020-08-21,Closed
CLM-000272,A,2020,2020-01-09,2020-02-11,2021-12-27,Closed
CLM-000273,A,2020,2020-02-25,2020-03-12,2021-03-29,Closed
CLM-000274,A,2020,2020-12-16,2020-12-19,2024-08-23,Closed
CLM-000275,A,2020,2020-06-02,2020-06-11,2022-04-25,Closed
CLM-000276,A,2020,2020-06-25,2020-08-11,2022-01-07,Closed
CLM-000277,A,2020,2020-06-19,2020-06-21,2022-03-17,Closed
CLM-000278,A,2020,2020-10-13,2020-10-28,2023-09-29,Closed
CLM-000279,A,2020,2020-01-24,2020-02-01,2022-01-10,Closed
CLM-000280,A,2020,2020-01-31,2020-03-06,2022-06-05,Closed
CLM-000281,A,2020,2020-04-10,2020-04-22,2021-07-17,Closed
CLM-000282,A,2020,2020-06-27,2020-07-23,2020-12-18,Closed
CLM-000283,A,2020,2020-09-02,2020-10-01,2021-07-30,Closed
CLM-000284,A,2020,2020-06-28,2020-09-08,2021-09-02,Closed
CLM-000285,A,2020,2020-06-10,2020-06-27,2020-09-24,Closed
CLM-000286,A,2020,2020-12-09,2021-01-04,2022-02-09,Closed
CLM-000287,A,2020,2020-02-28,2020-03-06,2022-06-01,Closed
CLM-000288,A,2020,2020-07-28,2020-09-12,2022-12-23,Closed
CLM-000289,A,2020,2020-07-17,2020-07-28,2023-04-12,Closed
CLM-000290,A,2020,2020-06-22,2020-07-05,2022-01-11,Closed
CLM-000291,A,2020,2020-10-22,2020-11-10,2022-02-08,Closed
CLM-000292,A,2020,2020-04-07,2020-04-13,2022-01-05,Closed
CLM-000293,A,2020,2020-12-15,2021-01-07,2021-09-16,Closed
CLM-000294,A,2020,2020-05-01,2020-06-09,2022-01-07,Closed
CLM-000295,A,2020,2020-07-18,2020-08-11,2022-01-19,Closed
CLM-000296,A,2020,2020-07-09,2020-07-15,2022-11-15,Closed
CLM-000297,A,2020,2020-11-07,2020-11-25,2023-06-22,Closed
CLM-000298,A,2020,2020-06-09,2020-07-12,2021-12-14,Closed
CLM-000299,A,2020,2020-04-14,2020-04-19,2021-08-15,Closed
CLM-000300,A,2020,2020-01-08,2020-01-17,2021-10-01,Closed
CLM-000301,A,2021,2021-07-06,2021-07-19,2022-05-19,Closed
CLM-000302,A,2021,2021-12-12,2021-12-31,2023-09-13,Closed
CLM-000303,A,2021,2021-03-14,2021-05-24,2023-06-05,Closed
CLM-000304,A,2021,2021-05-28,2021-06-03,2022-09-22,Closed
CLM-000305,A,2021,2021-03-23,2021-05-03,2022-08-11,Closed
CLM-000306,A,2021,2021-10-23,2021-11-01,2023-04-11,Closed
CLM-000307,A,2021,2021-06-01,2021-06-22,2024-01-23,Closed
CLM-000308,A,2021,2021-12-22,2022-01-07,2023-11-11,Closed
CLM-000309,A,2021,2021-03-31,2021-04-10,2022-04-24,Closed
CLM-000310,A,2021,2021-01-30,2021-02-09,2022-11-03,Closed
CLM-000311,A,2021,2021-08-01,2021-08-25,2022-04-28,Closed
CLM-000312,A,2021,2021-08-26,2021-10-05,2023-03-11,Closed
CLM-000313,A,2021,2021-12-28,2022-01-15,2022-10-12,Closed
CLM-000314,A,2021,2021-11-15,2021-12-06,2023-12-13,Closed
CLM-000315,A,2021,2021-11-19,2021-12-18,2024-04-18,Closed
CLM-000316,A,2021,2021-08-20,2021-08-30,2023-05-19,Closed
CLM-000317,A,2021,2021-05-12,2021-06-14,,Open
CLM-000318,A,2021,2021-06-06,2021-07-11,2023-01-14,Closed
CLM-000319,A,2021,2021-02-18,2021-06-21,2023-08-15,Closed
CLM-000320,A,2021,2021-06-07,2021-06-22,2024-02-12,Closed
CLM-000321,A,2021,2021-05-14,2021-05-28,2022-02-19,Closed
CLM-000322,A,2021,2021-01-14,2021-02-17,2022-09-27,Closed
CLM-000323,A,2021,2021-03-16,2021-04-20,2023-03-19,Closed
CLM-000324,A,2021,2021-07-15,2021-07-28,2022-06-14,Closed
CLM-000325,A,2021,2021-05-15,,2023-12-08,Closed
CLM-000326,A,2021,2021-12-29,2022-01-27,2023-10-08,Closed
CLM-000327,A,2021,2021-06-24,2021-07-05,2023-02-01,Closed
CLM-000328,A,2021,2021-12-16,2021-12-31,2023-08-23,Closed
CLM-000329,A,2021,2021-08-30,2021-09-20,2024-06-17,Closed
CLM-000330,A,2021,2021-01-15,2021-02-24,2022-10-15,Closed
CLM-000331,A,2021,2021-03-16,2021-03-29,2021-12-16,Closed
CLM-000332,A,2021,2021-09-15,2021-09-20,2022-09-22,Closed
CLM-000333,A,2021,2021-07-18,2021-07-23,2023-03-21,Closed
CLM-000334,A,2021,2021-04-21,2021-04-29,2022-07-11,Closed
CLM-000335,A,2021,2021-07-10,2021-07-17,2024-02-01,Closed
CLM-000336,A,2021,2021-11-26,2021-12-13,2023-02-01,Closed
CLM-000337,A,2021,2021-05-22,2021-05-30,2022-07-31,Closed
CLM-000338,A,2021,2021-01-17,2021-01-29,2022-06-05,Closed
CLM-000339,A,2021,2021-04-24,2021-05-05,2022-07-20,Closed
CLM-000340,A,2021,2021-12-08,2021-12-22,2022-02-01,Closed
CLM-000341,A,2021,2021-10-06,2021-11-25,2022-06-06,Closed
CLM-000342,A,2021,2021-11-02,2021-12-03,2023-08-09,Closed
CLM-000343,A,2021,2021-11-29,2021-12-19,2025-06-19,Closed
CLM-000344,A,2021,2021-02-12,2021-02-26,2022-06-22,Closed
CLM-000345,A,2021,2021-04-14,2021-04-28,2023-03-28,Closed
CLM-000346,A,2021,2021-01-22,2021-02-16,2022-09-05,Closed
CLM-000347,A,2021,2021-01-02,2021-02-01,2022-04-19,Closed
CLM-000348,A,2021,2021-11-01,2021-11-11,2024-05-08,Closed
CLM-000349,A,2021,2021-12-08,2021-12-28,2023-09-27,Closed
CLM-000350,A,2021,2021-02-26,2021-03-02,2022-12-06,Closed
CLM-000351,A,2021,2021-09-21,2021-10-14,2023-05-30,Closed
CLM-000352,A,2021,2021-07-15,2021-08-18,2023-02-05,Closed
CLM-000353,A,2021,2021-01-26,2021-02-11,2021-09-11,Closed
CLM-000354,A,2021,2021-12-01,2022-02-10,2023-01-30,Closed
CLM-000355,A,2021,2021-11-15,2021-11-25,2024-04-29,Closed
CLM-000356,A,2021,2021-07-27,2021-08-19,2022-05-16,Closed
CLM-000357,A,2021,2021-09-16,2021-10-05,2023-07-05,Closed
CLM-000358,A,2021,2021-05-25,2021-06-12,2022-11-06,Closed
CLM-000359,A,2021,2021-10-17,2021-11-04,2023-06-11,Closed
CLM-000360,A,2021,2021-06-12,2021-07-03,2022-08-29,Closed
CLM-000361,A,2021,2021-12-28,2022-02-02,2023-06-17,Closed
CLM-000362,A,2021,2021-01-24,2021-03-17,2023-08-08,Closed
CLM-000363,A,2021,2021-03-04,2021-03-23,2024-04-07,Closed
CLM-000364,A,2021,2021-12-20,2022-01-24,2022-11-19,Closed
CLM-000365,A,2021,2021-04-16,2021-04-28,2023-06-03,Closed
CLM-000366,A,2021,2021-04-24,2021-05-28,2023-05-17,Closed
CLM-000367,A,2021,2021-10-16,2021-10-27,2022-10-13,Closed
CLM-000368,A,2021,2021-03-11,2021-04-22,2024-04-20,Closed
CLM-000369,A,2021,2021-07-07,2021-10-08,2024-11-21,Closed
CLM-000370,A,2021,2021-04-15,2021-05-03,2021-11-24,Closed
CLM-000371,A,2021,2021-03-14,2021-03-18,2022-09-05,Closed
CLM-000372,A,2021,2021-12-18,2021-12-31,2023-12-06,Closed
CLM-000373,A,2021,2021-03-14,2021-04-30,2022-07-04,Closed
CLM-000374,A,2021,2021-02-04,2021-03-05,2022-02-04,Closed
CLM-000375,A,2021,2021-09-03,2021-09-26,2022-12-19,Closed
CLM-000376,A,2021,2021-11-13,2021-12-23,2024-04-14,Closed
CLM-000377,A,2021,2021-02-16,2021-03-16,2022-10-18,Closed
